measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Michigan,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7119.017223427766,8427.238490891259,5949.067399922213
Incidence,Michigan,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7533.379113578052,9337.01467495525,5926.8156734504655
Incidence,Florida,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,6711.942528576534,8032.576841090133,5594.823537990378
Incidence,Florida,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7261.577151772824,8995.44289860969,5754.659647463417
Incidence,Georgia,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7366.120864481338,8784.143952341376,6131.126594018013
Incidence,Georgia,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,8273.080586687603,10251.873843887026,6558.329102950844
Incidence,Hawaii,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7357.509482024724,8812.942274617142,6146.479083000097
Incidence,Hawaii,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7820.087743045576,9783.472701612009,6131.011110711292
Incidence,Alaska,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7795.079780819535,9472.172489752687,6420.587297174257
Incidence,Alaska,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,8388.118287816662,10697.756256849709,6477.40354763595
Incidence,Missouri,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7000.339952603478,8273.308517171306,5865.514198947123
Incidence,Missouri,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,8645.708394362351,10667.018553588983,6908.545719070578
Incidence,West Virginia,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,6943.75552624945,8201.4635411641,5799.189445607036
Incidence,West Virginia,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7304.907127839244,9035.218312126672,5767.228609815437
Incidence,Idaho,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,6712.731648485982,8003.042553972152,5629.422005779721
Incidence,Idaho,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7148.095135247172,8980.370496293106,5631.118058342295
Incidence,Alabama,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,6976.606693585617,8298.188257255644,5831.0603310751785
Incidence,Alabama,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7382.012262510444,9073.644776315465,5811.944681498557
Incidence,Montana,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,6896.696637395795,8274.802513150238,5722.59471827524
Incidence,Montana,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7365.823599089013,9242.185169232713,5766.556825926331
Incidence,Arizona,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7009.094725563865,8330.46730944977,5848.072809717329
Incidence,Arizona,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7389.7412193421305,9093.328605695455,5817.150822085356
Incidence,Ohio,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7069.123433949003,8366.532104580772,5908.332270559542
Incidence,Ohio,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7463.728420578944,9406.618393248486,5857.922783415763
Incidence,Wisconsin,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7023.386809585738,8328.613750888302,5837.492245335727
